학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000004647,의정부서초등학교,초등학교,1989-03-02,공립,본교,운영,경기도 의정부시 가능동 834,경기도 의정부시 둔야로 57(가능동.의정부서초등학교),7530000,경기도교육청,7561000,경기도의정부교육지원청,2013-11-29,2018-08-22,37.74091605,127.0388628,2018-09-10,B090027,한국교육개발원
B000025189,인천송명초등학교,초등학교,2014-03-01,공립,본교,운영,인천광역시 연수구 송도동 191-5,인천광역시 연수구 송도교육로 19(송도동),7310000,인천광역시교육청,7341000,인천광역시동부교육지원청,2013-11-29,2018-08-22,37.37423698,126.6560771,2018-09-10,B090027,한국교육개발원
B000010100,음암중학교,중학교,1976-03-10,공립,본교,운영,충청남도 서산시 음암면 도당리 585-18,충청남도 서산시 음암면 칠거리로 147(음암면),8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,2018-08-22,36.78966833,126.5179787,2018-09-10,B090027,한국교육개발원
B000010102,인지중학교,중학교,1985-03-08,공립,본교,운영,충청남도 서산시 인지면 야당리 545-10,충청남도 서산시 인지면 무학로 1654-9(인지면),8140000,충청남도교육청,8191000,충청남도서산교육지원청,2013-11-29,2018-08-22,36.74957628,126.4265571,2018-09-10,B090027,한국교육개발원
B000009140,율전중학교,중학교,1999-03-01,공립,본교,운영,경기도 수원시 장안구 율전동 168-41,경기도 수원시 장안구 덕영대로 381번길 59. 율전중학교 (율전동),7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2018-08-22,37.3031939,126.9662094,2018-09-10,B090027,한국교육개발원
B000010231,전주용소중학교,중학교,2005-03-01,공립,본교,운영,전라북도 전주시 덕진구 송천동1가 842,전라북도 전주시 덕진구 송천로 112 (송천동1가. 전주용소중학교),8320000,전라북도교육청,8331000,전라북도전주교육지원청,2013-11-29,2018-08-22,35.8621852,127.116856,2018-09-10,B090027,한국교육개발원
B000010232,전주오송중학교,중학교,2011-03-01,공립,본교,운영,전라북도 전주시 덕진구 송천동2가 175-22,전라북도 전주시 덕진구 천마산로 69 (송천동2가),8320000,전라북도교육청,8331000,전라북도전주교육지원청,2013-11-29,2018-08-22,35.86569623,127.1280639,2018-09-10,B090027,한국교육개발원
B000009381,의왕부곡중학교,중학교,1993-01-11,공립,본교,운영,경기도 의왕시 월암동 431,경기도 의왕시 부곡중학길 61 (월암동),7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2013-11-29,2018-08-22,37.31442974,126.9566854,2018-09-10,B090027,한국교육개발원
B000009383,은계중학교,중학교,2008-03-01,공립,본교,운영,경기도 시흥시 대야동 642-244,경기도 시흥시 대은로 111번길 10(계수동. 은계중학교),7530000,경기도교육청,7781000,경기도시흥교육지원청,2013-11-29,2018-08-22,37.44719655,126.8004956,2018-09-10,B090027,한국교육개발원
B000010120,전의중학교,중학교,1954-10-23,공립,본교,운영,세종특별자치시 전의면 읍내리 98-1,세종특별자치시 전의면 운주산로 1260-6(전의면. 전의중학교),9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2018-08-22,36.68129876,127.1977685,2018-09-10,B090027,한국교육개발원
